lambda mDWithoutAddedTime mDWithAddedTime averageNumberOfTransfers
0.1 1.258911504157773 1.8566229722799001 0.5217303822937626
0.2 1.3440300085741623 1.7795389993035318 0.5006075334143378
0.3 1.4796815185003915 1.943803062379031 0.49337682220595086
0.4 1.8534506755178142 2.370837605142242 0.5038045654785743
0.5 2.3781768236974896 2.672320647562879 0.4989010989010989
0.6 2.677432523812308 3.0871390100123683 0.4936487667181934
0.70000005 3.918859730781441 4.370904078775168 0.4944211599456276
0.8000001 6.42720599118648 6.88956997572663 0.49329444610629175
0.9000001 12.053496925609732 19.470625734665465 0.49212500844956175
